samp1,samp2,discord
Diagnosis Xeno 2,Diagnosis Xeno 2 CNS,1
Diagnosis Xeno 2,Diagnosis Xeno 2 Spleen,0
Diagnosis Xeno 3,Diagnosis Xeno 3 CNS,1
Diagnosis Xeno 3,Diagnosis Xeno 3 Spleen,0
Diagnosis Xeno 4,Diagnosis Xeno 4 Spleen,0
Diagnosis Xeno 5,Diagnosis Xeno 5 Spleen,1
Diagnosis Xeno 6,Diagnosis Xeno 6 Spleen,0
Diagnosis Xeno 7,Diagnosis Xeno 7 Spleen,0
Diagnosis Xeno 9,Diagnosis Xeno 9 Spleen,0
Diagnosis Xeno 10,Diagnosis Xeno 10 Spleen,0
Relapse Xeno 2,Relapse Xeno 2 CNS,0
Relapse Xeno 2,Relapse Xeno 2 Spleen,0
Relapse Xeno 3,Relapse Xeno 3 CNS,0
Relapse Xeno 3,Relapse Xeno 3 Spleen,0
Relapse Xeno 4,Relapse Xeno 4 CNS,0
Relapse Xeno 4,Relapse Xeno 4 Spleen,0
Relapse Xeno 5,Relapse Xeno 5 CNS,1
Relapse Xeno 5,Relapse Xeno 5 Spleen,0
Relapse Xeno 6,Relapse Xeno 6 Spleen,1
Relapse Xeno 7,Relapse Xeno 7 CNS,0
Relapse Xeno 7,Relapse Xeno 7 Spleen,0
Relapse Xeno 8,Relapse Xeno 8 CNS,0
Relapse Xeno 8,Relapse Xeno 8 Spleen,0
Relapse Xeno 9,Relapse Xeno 9 CNS,0
Relapse Xeno 9,Relapse Xeno 9 Spleen,0
Relapse Xeno 10,Relapse Xeno 10 CNS,0
Relapse Xeno 10,Relapse Xeno 10 Spleen,0
Relapse Xeno 11,Relapse Xeno 11 CNS,0
Relapse Xeno 11,Relapse Xeno 11 Spleen,0
Relapse Xeno 12,Relapse Xeno 12 Spleen,0
Relapse Xeno 18,Relapse Xeno 18 Spleen,0
